id,titre,type,prix,surface,chambres,localisation,url,latitude,longitude
31176,APPARTEMENT 1 CHAMBRE A LOUER,Appartement, 1.100\u20ac ,,1,,https://www.luxhome.lu/bien/appartement-1-chambre-a-louer-2/,50.0590436,6.0246849
31165,Bureaux en coworking,Bureau, 350\u20ac ,,,,https://www.luxhome.lu/bien/bureaux-en-coworking/,49.687813,5.9139276
31147,Kirchberg Appartement meublé moderne 92m2,Appartement, 2.800\u20ac ,92,,Kirchberg,https://www.luxhome.lu/bien/kirchberg-appartement-meuble-moderne-92m2/,49.61115892322423, 6.12969867923474
31132,A louer Bureau de +-21m² - Perlé (Lu) - 600€/mois,Bureau, 600\u20ac ,21,,,https://www.luxhome.lu/bien/a-louer-bureau-de-21m%c2%b2-perle-lu-600e-mois/,49.8092862,5.7651071
31100,BUREAU FERME A LOUER 16m2,Bureau, 1.450\u20ac ,16,,,https://www.luxhome.lu/bien/bureau-ferme-a-louer-16m2/,49.6512654,6.1256079
31091,Cave à louer à Steinfort,Garage fermé, 265\u20ac ,,,Steinfort,https://www.luxhome.lu/bien/cave-a-louer-a-steinfort/,49.6597539,5.914723
31085,BUREAU,Bureau, 380\u20ac ,,,,https://www.luxhome.lu/bien/bureau-4/,49.61115892322423, 6.12969867923474
31073,MAISON 4 CHAMBRES,Maison, 3.950\u20ac ,,4,,https://www.luxhome.lu/bien/maison-4-chambres/,49.61115892322423, 6.12969867923474
30842,"Spacious 125 m² Duplex (2 chr, 2 SBD) with Private Garden in Esch-sur-Alzette for 2.750,-",Duplex, 2.750\u20ac ,125,2,Esch,https://www.luxhome.lu/bien/spacious-125-m%c2%b2-duplex-2-chr-2-sbd-with-private-garden-in-esch-sur-alzette-for-2-750/,49.496957,5.978518
29903,Local commercial avec vitrine sur la route d'Arlon,Local commercial, 2.600\u20ac ,,,,https://www.luxhome.lu/bien/local-commercial-avec-vitrine-sur-la-route-darlon/,49.6191697,6.0783493
29715,BUREAU INDIVIDUEL 17m² FERM\u00c9 &amp; MEUBL\u00c9 SUR BELVAL,Bureau, 1.100\u20ac ,17,,Belval,https://www.luxhome.lu/bien/bureau-individuel-17m%c2%b2-ferme-meuble-sur-belval/,49.5128101,5.9354153
28799,"Maison 3 chambres à louer, proche du Kirchberg.",Maison, 2.500\u20ac ,,3,Kirchberg,https://www.luxhome.lu/bien/maison-3-chambres-a-louer-proche-du-kirchberg/,49.6283549,6.1140089
26406,Penthouse 2 chambres 2 terrasses,Penthouse, 2.650\u20ac ,,2,,https://www.luxhome.lu/bien/penthouse-2-chambres-2-terrasses/,49.5989966,6.1221453
26237,Studio à louer rue Hollerich,Studio, 1.300\u20ac ,,,Hollerich,https://www.luxhome.lu/bien/studio-a-louer-rue-hollerich/,49.5987409,6.1251785
26225,"Appartement meublé 1 chambre avec loggia, cave et parking",Appartement, 2.100\u20ac ,,1,,https://www.luxhome.lu/bien/appartement-meuble-1-chambre-avec-loggia-cave-et-parking/,49.5914896,6.1246553
25488,BUREAU OU LOCAL COMMERCIAL 231 m² à BELVAL RDC + MEZZANINE,Bureau,Prix sur demande!,231,,Belval,https://www.luxhome.lu/bien/bureau-ou-local-commercial-231-m%c2%b2-a-belval-rdc-mezzanine/,49.611158923224,6.1296986792347
25377,1 chambre appartement Hollerich,Appartement, 2.450\u20ac ,,1,Hollerich,https://www.luxhome.lu/bien/1-chambre-appartement-hollerich/,49.5990604,6.122144
25369,2 chambres appartement Hollerich Lot 14,Appartement, 2.450\u20ac ,,2,Hollerich,https://www.luxhome.lu/bien/appartement-2-chambres-hollerich-lot-14/,49.5990604,6.122144
23290,ParcLUXITE SPACE CAMPUS - KOCKELSCHEUER BUREAUX \u00c0 LOUER - OU \u00c0 LA VENTE DISPO Q3/Q4 2024,Bureau, 8.219\u20ac ,,,,https://www.luxhome.lu/bien/parcluxite-space-campus-kockelscheuer-bureaux-a-louer-ou-a-la-vente-dispo-q3-q4-2024/,49.5553859,6.1056884
22903,Garage en sous-sol Luxembourg-Limpertsberg,"Emplacement intérieur, Garage", 180\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/garage-en-sous-sol-luxembourg-limpertsberg/,49.611158923224,6.1296986792347
22696,PARKING INTERIEUR,Emplacement intérieur, 150\u20ac ,,,,https://www.luxhome.lu/bien/parking-interieur/,49.6278334,6.1596669
22441,Garage-parking à Luxembourg-Limpertsberg,Emplacement intérieur, 180\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/garage-parking-a-luxembourg-limpertsberg-2/,49.61115892322423, 6.12969867923474
22439,Garage-parking à Luxembourg-Limpertsberg,Emplacement intérieur, 180\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/garage-parking-a-luxembourg-limpertsberg/,49.61115892322423, 6.12969867923474
22243,"PRIVATE room for only 800,- in Esch/Alzette; NO AGENCY FEE",Chambre, 800\u20ac ,,,Esch,https://www.luxhome.lu/bien/private-room-for-only-800-in-esch-alzette-no-agency-fee/,49.49552595,5.971125311438475
22095,1 chambre avec une pièce au dernier étage appartement Bonnevoie,Appartement, 1.850\u20ac ,,1,Bonnevoie,https://www.luxhome.lu/bien/appartement-1-chambre-bonnevoie/,49.59529015,6.13711730243077
22084,5 Appartements à louer dans immeuble rénové,Appartement, 1.950\u20ac ,,,,https://www.luxhome.lu/bien/6-appartements-a-louer-dans-immeuble-recent/,49.5956314,6.1376614
21588,Bureaux de 94 m2 à louer LUXEMBOURG-VILLE HAUTE,Bureau, 3.000\u20ac ,94,,Luxembourg,https://www.luxhome.lu/bien/bureaux-de-94-m2-a-louer-luxembourg-ville-haute/,49.61115892322423, 6.12969867923474
21575,Local meublé dans cabinet médical à LUXEMBOURG,Local commercial, 1.600\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/local-meuble-dans-cabinet-medical-a-luxembourg/,49.61115892322423, 6.12969867923474
21542,Appartement de haut standing avec 3 chambres,Appartement, 2.500\u20ac ,,3,,https://www.luxhome.lu/bien/appartement-de-haut-standing-avec-3-chambres/,49.665401,5.9169789
21089,Appartement meublé avec 2 chambres au champs du Soleil à Steinfort,Appartement, 2.000\u20ac ,,2,Steinfort,https://www.luxhome.lu/bien/appartement-2-chambres-a-louer/,49.6591416079615,5.919087763935368
20879,Maison à vendre,Maison jumelée, 2.500\u20ac ,,,,https://www.luxhome.lu/bien/maison-a-vendre-limpertsberg/,49.6281686,6.1143811
19865,CO-LIVING - 3 Chambres meublées à louer / 3 furnished bedrooms to rent : 1.150€ / 1.250€ / 1.350€,Chambre, 1.150\u20ac ,,3,,https://www.luxhome.lu/bien/co-living-3-chambres-meublees-a-louer-3-furnished-bedrooms-to-rent-1-150e-1-250e-1-350e/,49.6242934,6.0950008
18569,"Penthouse Howald 2ch, bureau 130m2",Appartement, 2.450\u20ac ,130,2,Howald,https://www.luxhome.lu/bien/penthouse-howald-2ch-bureau-130m2/,49.5850684,6.1459794
18514,LOUE - Penthouse 3 chambres à Luxembourg-Cessange,Penthouse, 3.350\u20ac ,,3,Luxembourg,https://www.luxhome.lu/bien/a-louer-somptueux-penthouse-de-3-chambres-neuf-1ere-occupation/,49.5882488,6.0991345
18281,APPARTEMENT 3 CHAMBRES A LOUER A BELAIR,Appartement, 3.400\u20ac ,,3,Belair,https://www.luxhome.lu/bien/appartement-3-chambres-a-louer-a-belair/,49.61115892322423, 6.12969867923474
18175,Emplacement parking interne à louer à SCHIFFLANGE,Emplacement intérieur, 130\u20ac ,,,Schifflange,https://www.luxhome.lu/bien/emplacement-parking-interne-a-louer-a-schifflange/,49.61115892322423, 6.12969867923474
18167,Chambre à louer pour profession médicale à SCHIFFLANGE,Chambre, 950\u20ac ,,,Schifflange,https://www.luxhome.lu/bien/chambre-a-louer-pour-profession-medicale-a-schifflange/,49.61115892322423, 6.12969867923474
18159,Appartement/studio à louer pour profession médicale à BRIDEL,Studio, 2.150\u20ac ,,,Bridel,https://www.luxhome.lu/bien/appartement-studio-a-louer-pour-profession-medicale-a-bridel/,49.61115892322423, 6.12969867923474
18043,APPARTEMENT 3 CHAMBRES A LOUER A GASPERICH,Appartement, 3.200\u20ac ,,3,,https://www.luxhome.lu/bien/appartement-3-chambres-a-louer-a-gasperich/,49.61115892322423, 6.12969867923474
17795,PARKING INTERIEUR A LOUER A ESCH / BELVAL,Emplacement intérieur, 110\u20ac ,,,Esch,https://www.luxhome.lu/bien/parking-interieur-a-louer-a-esch-belval/,49.61115892322423, 6.12969867923474
17792,PARKING COUVERT EXTERIEUR A LOUER A HOWALD,Emplacement extérieur, 100\u20ac ,,,Howald,https://www.luxhome.lu/bien/parking-couvert-exterieur-a-louer-a-howald/,49.61115892322423, 6.12969867923474
17543,BUREAU A LOUER PLACE DE PARIS,Bureau, 6.200\u20ac ,,,,https://www.luxhome.lu/bien/bureau-a-louer-place-de-paris/,49.61115892322423, 6.12969867923474
17482,4 CHAMBRES MEUBLEES A LOUER AU LUXEMBOURG VILLE,Chambre, 1.150\u20ac ,,4,Luxembourg,https://www.luxhome.lu/bien/4-chambres-meublees-a-louer-au-luxembourg-ville/,49.61115892322423, 6.12969867923474
17470,STUDIO MEUBLE A LOUER A LUXEMBOURG VILLE,Studio, 1.700\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/studio-meuble-a-louer-a-luxembourg-ville/,49.61115892322423, 6.12969867923474
17247,STUDIO MEUBLE A LOUER A STRASSEN,Studio, 1.900\u20ac ,,,Strassen,https://www.luxhome.lu/bien/studio-meuble-a-louer-a-strassen/,49.61115892322423, 6.12969867923474
17234,GRANDE MAISON 6 CHAMBRES A LOUER A LIMPERTSBERG,Maison, 5.500\u20ac PAR MOIS,,6,Limpertsberg,https://www.luxhome.lu/bien/grande-maison-6-chambres-a-louer-a-limpertsberg/,49.61115892322423, 6.12969867923474
17143,Chambre PRIV\u00c9E au centre d'Esch/Alzette ; SANS FRAIS D'AGENCE ; disponible à partir du 1er fevrier 2024,Chambre,par mois 800\u20ac ,,,Esch,https://www.luxhome.lu/bien/chambre-privee-au-centre-desch-alzette-sans-frais-dagence-disponible-a-partir-du-1er-juillet/,49.4959628,5.9850306
16726,Chambre à louer au Reckenthal,"Appartement, Chambre", 990\u20ac ,,,,https://www.luxhome.lu/bien/chambre-a-louer-au-reckenthal/,49.6242934,6.0950008
16714,LOUE LOUE Appartement 2 CH à louer Cessange,Appartement, 2.400\u20ac ,,2,Cessange,https://www.luxhome.lu/bien/appartement-1-ou-ch-a-louer-luxembourg-cessange/,49.60897266860193,6.12419061173447
16570,BUREAU A LOUER A LUXEMBOURG-VILLE,Bureau, 4.100\u20ac ,,,Luxembourg,https://www.luxhome.lu/bien/bureau-a-louer-a-luxembourg-ville/,49.61115892322423, 6.12969867923474
16340,Superbe appartement 2 Chambres à Cessange,Appartement, 2.350\u20ac ,,2,Cessange,https://www.luxhome.lu/bien/superbe-appartement-2-chambres-luxembourg-cessange/,49.61115892322423, 6.12969867923474
16333,Penthouse 2 CH à louer Luxembourg Cessange,Penthouse, 2.950\u20ac ,,2,Luxembourg,https://www.luxhome.lu/bien/penthouse-2-ch-a-louer-luxembourg-cessange/,49.61115892322423, 6.12969867923474
16130,Appartement 1 chambre à louer à Strassen,Appartement, 1.600\u20ac ,,1,Strassen,https://www.luxhome.lu/bien/appartement-1-chambre-a-louer-a-strassen/,49.619634700000006,6.065346631299211
16050,Maison 5 chambres avec jardin à louer à Mamer Strassen,Maison, 4.500\u20ac ,,5,Strassen,https://www.luxhome.lu/bien/maison-5-chambres-avec-jardin-a-louer-a-mamer-strassen/,49.6246876,6.030021
15689,MAISON 4 CHAMBRES A LOUER A KIRCHBERG,Maison, 3.300\u20ac ,,4,Kirchberg,https://www.luxhome.lu/bien/maison-4-chambres-a-louer-a-kirchberg/,49.61115892322423, 6.12969867923474
15255,"Dudelange, Appartement","Appartement, Chambre", 850\u20ac ,,,Dudelange,https://www.luxhome.lu/bien/dudelange-appartement/,49.4677245,6.0840688
15094,APPARTEMENT LOUE A LUXEMBURG-GARE,Appartement, 1.700\u20ac ,,,Gare,https://www.luxhome.lu/bien/appartement-1-chambre-a-louer/,49.59972985,6.135144553486908
13449,Magnifique appartement 2 chambres meublé à Strassen,Appartement, 2.230\u20ac ,,2,Strassen,https://www.luxhome.lu/bien/location-appartement-2-chambres-meuble-a-strassen-a-2230e-m/,49.611158923224,6.1296986792347
12353,""" LOUEE "" MAISON 3 CHAMBRES A LOUER A SANDWEILER",Maison, 2.650\u20ac ,,3,Sandweiler,https://www.luxhome.lu/bien/maison-3-chambres-a-louer-a-sandweiler/,49.616081,6.2173651
11629,SENSATIONNEL INFINTY LIVING KIRCHBERG !!!,Appartement, 4.950\u20ac ,,,Kirchberg,https://www.luxhome.lu/bien/sensationnel-infinty-living-kirchberg/,49.6195469,6.1432875
9982,Emplacement interne parking à louer à Schifflange,Emplacement intérieur, 130\u20ac ,,,Schifflange,https://www.luxhome.lu/bien/emplacement-interne-parking-a-louer-a-schifflange/,49.509477000000004,6.027280149257579
